Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 250
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 4.86495
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 5.04329
Progresso (T4): 10.00%	ODs: 375/10000(004%)	Tempo: 5.06874
Progresso (T1): 10.00%	ODs: 500/10000(005%)	Tempo: 5.21959
Progresso (T2): 10.00%	ODs: 625/10000(006%)	Tempo: 5.27713
Progresso (T5): 10.00%	ODs: 750/10000(008%)	Tempo: 5.45775
Progresso (T7): 10.00%	ODs: 875/10000(009%)	Tempo: 5.73385
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 6.01541
Progresso (T8): 20.00%	ODs: 1125/10000(011%)	Tempo: 9.87499
Progresso (T3): 20.00%	ODs: 1250/10000(013%)	Tempo: 10.07764
Progresso (T2): 20.00%	ODs: 1375/10000(014%)	Tempo: 10.30483
Progresso (T4): 20.00%	ODs: 1500/10000(015%)	Tempo: 10.43606
Progresso (T5): 20.00%	ODs: 1625/10000(016%)	Tempo: 10.46035
Progresso (T1): 20.00%	ODs: 1750/10000(018%)	Tempo: 10.53435
Progresso (T7): 20.00%	ODs: 1875/10000(019%)	Tempo: 11.21574
Progresso (T6): 20.00%	ODs: 2000/10000(020%)	Tempo: 11.36632
Progresso (T8): 30.00%	ODs: 2125/10000(021%)	Tempo: 14.98789
Progresso (T3): 30.00%	ODs: 2250/10000(023%)	Tempo: 15.35946
Progresso (T2): 30.00%	ODs: 2375/10000(024%)	Tempo: 15.46550
Progresso (T5): 30.00%	ODs: 2500/10000(025%)	Tempo: 15.72630
Progresso (T4): 30.00%	ODs: 2625/10000(026%)	Tempo: 15.81427
Progresso (T1): 30.00%	ODs: 2750/10000(028%)	Tempo: 15.98588
Progresso (T7): 30.00%	ODs: 2875/10000(029%)	Tempo: 16.19469
Progresso (T6): 30.00%	ODs: 3000/10000(030%)	Tempo: 16.52385
Progresso (T8): 40.00%	ODs: 3125/10000(031%)	Tempo: 20.22678
Progresso (T2): 40.00%	ODs: 3250/10000(033%)	Tempo: 20.52587
Progresso (T3): 40.00%	ODs: 3375/10000(034%)	Tempo: 20.59872
Progresso (T5): 40.00%	ODs: 3500/10000(035%)	Tempo: 20.99314
Progresso (T1): 40.00%	ODs: 3625/10000(036%)	Tempo: 21.15087
Progresso (T4): 40.00%	ODs: 3750/10000(038%)	Tempo: 21.25351
Progresso (T7): 40.00%	ODs: 3875/10000(039%)	Tempo: 21.94296
Progresso (T6): 40.00%	ODs: 4000/10000(040%)	Tempo: 22.19440
Progresso (T8): 50.00%	ODs: 4125/10000(041%)	Tempo: 25.15714
Progresso (T2): 50.00%	ODs: 4250/10000(043%)	Tempo: 25.41498
Progresso (T3): 50.00%	ODs: 4375/10000(044%)	Tempo: 25.51334
Progresso (T1): 50.00%	ODs: 4500/10000(045%)	Tempo: 26.18499
Progresso (T5): 50.00%	ODs: 4625/10000(046%)	Tempo: 26.29955
Progresso (T4): 50.00%	ODs: 4750/10000(048%)	Tempo: 26.75445
Progresso (T7): 50.00%	ODs: 4875/10000(049%)	Tempo: 27.33327
Progresso (T6): 50.00%	ODs: 5000/10000(050%)	Tempo: 27.88018
Progresso (T8): 60.00%	ODs: 5125/10000(051%)	Tempo: 29.90140
Progresso (T3): 60.00%	ODs: 5250/10000(053%)	Tempo: 30.56164
Progresso (T2): 60.00%	ODs: 5375/10000(054%)	Tempo: 30.63659
Progresso (T1): 60.00%	ODs: 5500/10000(055%)	Tempo: 31.27864
Progresso (T5): 60.00%	ODs: 5625/10000(056%)	Tempo: 31.52810
Progresso (T4): 60.00%	ODs: 5750/10000(058%)	Tempo: 31.81413
Progresso (T7): 60.00%	ODs: 5875/10000(059%)	Tempo: 32.77392
Progresso (T6): 60.00%	ODs: 6000/10000(060%)	Tempo: 33.00666
Progresso (T8): 70.00%	ODs: 6125/10000(061%)	Tempo: 34.67970
Progresso (T3): 70.00%	ODs: 6250/10000(063%)	Tempo: 35.52377
Progresso (T2): 70.00%	ODs: 6375/10000(064%)	Tempo: 35.81606
Progresso (T1): 70.00%	ODs: 6500/10000(065%)	Tempo: 36.47168
Progresso (T5): 70.00%	ODs: 6625/10000(066%)	Tempo: 36.52508
