Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 292.77603
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 316.67889
Progresso (T1): 10.00%	ODs: 375/10000(004%)	Tempo: 344.60584
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 379.37259
Progresso (T5): 10.00%	ODs: 625/10000(006%)	Tempo: 406.44067
Progresso (T2): 10.00%	ODs: 750/10000(008%)	Tempo: 409.70684
Progresso (T8): 10.00%	ODs: 875/10000(009%)	Tempo: 416.96863
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 442.60668
Progresso (T1): 20.00%	ODs: 1125/10000(011%)	Tempo: 662.21439
Progresso (T7): 20.00%	ODs: 1250/10000(013%)	Tempo: 717.88148
Progresso (T2): 20.00%	ODs: 1375/10000(014%)	Tempo: 719.02094
Progresso (T5): 20.00%	ODs: 1500/10000(015%)	Tempo: 741.52726
Progresso (T3): 20.00%	ODs: 1625/10000(016%)	Tempo: 744.04220
Progresso (T6): 20.00%	ODs: 1750/10000(018%)	Tempo: 778.75580
Progresso (T4): 20.00%	ODs: 1875/10000(019%)	Tempo: 791.07010
Progresso (T8): 20.00%	ODs: 2000/10000(020%)	Tempo: 797.31754
Progresso (T1): 30.00%	ODs: 2125/10000(021%)	Tempo: 983.64469
Progresso (T3): 30.00%	ODs: 2250/10000(023%)	Tempo: 1054.19778
Progresso (T4): 30.00%	ODs: 2375/10000(024%)	Tempo: 1098.99106
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 1109.57123
Progresso (T2): 30.00%	ODs: 2625/10000(026%)	Tempo: 1120.72888
Progresso (T8): 30.00%	ODs: 2750/10000(028%)	Tempo: 1123.17401
Progresso (T5): 30.00%	ODs: 2875/10000(029%)	Tempo: 1134.43182
Progresso (T6): 30.00%	ODs: 3000/10000(030%)	Tempo: 1188.30500
Progresso (T3): 40.00%	ODs: 3125/10000(031%)	Tempo: 1383.40687
Progresso (T2): 40.00%	ODs: 3250/10000(033%)	Tempo: 1420.37081
Progresso (T1): 40.00%	ODs: 3375/10000(034%)	Tempo: 1421.82305
Progresso (T7): 40.00%	ODs: 3500/10000(035%)	Tempo: 1473.02736
Progresso (T5): 40.00%	ODs: 3625/10000(036%)	Tempo: 1484.57802
Progresso (T8): 40.00%	ODs: 3750/10000(038%)	Tempo: 1494.76895
Progresso (T6): 40.00%	ODs: 3875/10000(039%)	Tempo: 1553.25069
Progresso (T4): 40.00%	ODs: 4000/10000(040%)	Tempo: 1585.31443
Progresso (T1): 50.00%	ODs: 4125/10000(041%)	Tempo: 1757.26474
Progresso (T3): 50.00%	ODs: 4250/10000(043%)	Tempo: 1760.53671
Progresso (T2): 50.00%	ODs: 4375/10000(044%)	Tempo: 1764.81161
Progresso (T8): 50.00%	ODs: 4500/10000(045%)	Tempo: 1813.55552
Progresso (T6): 50.00%	ODs: 4625/10000(046%)	Tempo: 1817.82791
Progresso (T7): 50.00%	ODs: 4750/10000(048%)	Tempo: 1834.03091
Progresso (T5): 50.00%	ODs: 4875/10000(049%)	Tempo: 1835.25065
Progresso (T4): 50.00%	ODs: 5000/10000(050%)	Tempo: 1954.59482
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 2045.96075
Progresso (T1): 60.00%	ODs: 5250/10000(053%)	Tempo: 2060.72052
Progresso (T3): 60.00%	ODs: 5375/10000(054%)	Tempo: 2120.04010
Progresso (T8): 60.00%	ODs: 5500/10000(055%)	Tempo: 2129.72564
Progresso (T6): 60.00%	ODs: 5625/10000(056%)	Tempo: 2186.78495
