Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 50
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T3): 10.00%	ODs: 125/10000(001%)	Tempo: 5.43465
Progresso (T1): 10.00%	ODs: 250/10000(003%)	Tempo: 6.07666
Progresso (T7): 10.00%	ODs: 375/10000(004%)	Tempo: 6.51133
Progresso (T5): 10.00%	ODs: 500/10000(005%)	Tempo: 7.42674
Progresso (T6): 10.00%	ODs: 625/10000(006%)	Tempo: 7.98593
Progresso (T8): 10.00%	ODs: 750/10000(008%)	Tempo: 8.04722
Progresso (T4): 10.00%	ODs: 875/10000(009%)	Tempo: 8.16133
Progresso (T2): 10.00%	ODs: 1000/10000(010%)	Tempo: 8.67492
Progresso (T3): 20.00%	ODs: 1125/10000(011%)	Tempo: 11.50466
Progresso (T1): 20.00%	ODs: 1250/10000(013%)	Tempo: 11.62533
Progresso (T5): 20.00%	ODs: 1375/10000(014%)	Tempo: 12.62391
Progresso (T2): 20.00%	ODs: 1500/10000(015%)	Tempo: 13.53370
Progresso (T8): 20.00%	ODs: 1625/10000(016%)	Tempo: 13.97361
Progresso (T6): 20.00%	ODs: 1750/10000(018%)	Tempo: 15.77581
Progresso (T7): 20.00%	ODs: 1875/10000(019%)	Tempo: 15.81298
Progresso (T1): 30.00%	ODs: 2000/10000(020%)	Tempo: 16.60765
Progresso (T4): 20.00%	ODs: 2125/10000(021%)	Tempo: 16.86082
Progresso (T3): 30.00%	ODs: 2250/10000(023%)	Tempo: 17.20358
Progresso (T5): 30.00%	ODs: 2375/10000(024%)	Tempo: 19.21513
Progresso (T2): 30.00%	ODs: 2500/10000(025%)	Tempo: 19.91121
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 20.68972
Progresso (T4): 30.00%	ODs: 2750/10000(028%)	Tempo: 21.57058
Progresso (T6): 30.00%	ODs: 2875/10000(029%)	Tempo: 21.75370
Progresso (T3): 40.00%	ODs: 3000/10000(030%)	Tempo: 23.54210
Progresso (T7): 30.00%	ODs: 3125/10000(031%)	Tempo: 24.13240
Progresso (T1): 40.00%	ODs: 3250/10000(033%)	Tempo: 24.82945
Progresso (T2): 40.00%	ODs: 3375/10000(034%)	Tempo: 26.19504
Progresso (T5): 40.00%	ODs: 3500/10000(035%)	Tempo: 27.06648
Progresso (T8): 40.00%	ODs: 3625/10000(036%)	Tempo: 28.81817
Progresso (T3): 50.00%	ODs: 3750/10000(038%)	Tempo: 29.43943
Progresso (T1): 50.00%	ODs: 3875/10000(039%)	Tempo: 29.87511
Progresso (T7): 40.00%	ODs: 4000/10000(040%)	Tempo: 30.08319
Progresso (T4): 40.00%	ODs: 4125/10000(041%)	Tempo: 30.15085
Progresso (T6): 40.00%	ODs: 4250/10000(043%)	Tempo: 30.55201
Progresso (T6): 50.00%	ODs: 4375/10000(044%)	Tempo: 34.31360
Progresso (T1): 60.00%	ODs: 4500/10000(045%)	Tempo: 34.61230
Progresso (T8): 50.00%	ODs: 4625/10000(046%)	Tempo: 34.55312
Progresso (T5): 50.00%	ODs: 4750/10000(048%)	Tempo: 34.77587
Progresso (T2): 50.00%	ODs: 4875/10000(049%)	Tempo: 34.85110
Progresso (T4): 50.00%	ODs: 5000/10000(050%)	Tempo: 35.04174
Progresso (T7): 50.00%	ODs: 5125/10000(051%)	Tempo: 36.09167
Progresso (T3): 60.00%	ODs: 5250/10000(053%)	Tempo: 36.58285
Progresso (T1): 70.00%	ODs: 5375/10000(054%)	Tempo: 39.09658
Progresso (T2): 60.00%	ODs: 5500/10000(055%)	Tempo: 39.49977
Progresso (T8): 60.00%	ODs: 5625/10000(056%)	Tempo: 39.90559
Progresso (T6): 60.00%	ODs: 5750/10000(058%)	Tempo: 40.47038
