Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 2.56640
Progresso (T1): 10.00%	ODs: 250/10000(003%)	Tempo: 2.63667
Progresso (T3): 10.00%	ODs: 375/10000(004%)	Tempo: 2.64819
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 2.69774
Progresso (T2): 10.00%	ODs: 625/10000(006%)	Tempo: 2.71747
Progresso (T7): 10.00%	ODs: 750/10000(008%)	Tempo: 2.86345
Progresso (T5): 10.00%	ODs: 875/10000(009%)	Tempo: 2.89697
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 2.94457
Progresso (T2): 20.00%	ODs: 1125/10000(011%)	Tempo: 5.21015
Progresso (T8): 20.00%	ODs: 1250/10000(013%)	Tempo: 5.29149
Progresso (T3): 20.00%	ODs: 1375/10000(014%)	Tempo: 5.33892
Progresso (T1): 20.00%	ODs: 1500/10000(015%)	Tempo: 5.35514
Progresso (T4): 20.00%	ODs: 1625/10000(016%)	Tempo: 5.50527
Progresso (T5): 20.00%	ODs: 1750/10000(018%)	Tempo: 5.57874
Progresso (T7): 20.00%	ODs: 1875/10000(019%)	Tempo: 5.58772
Progresso (T6): 20.00%	ODs: 2000/10000(020%)	Tempo: 5.67884
Progresso (T2): 30.00%	ODs: 2125/10000(021%)	Tempo: 7.83268
Progresso (T7): 30.00%	ODs: 2250/10000(023%)	Tempo: 7.97731
Progresso (T8): 30.00%	ODs: 2375/10000(024%)	Tempo: 8.02832
Progresso (T3): 30.00%	ODs: 2500/10000(025%)	Tempo: 8.06037
Progresso (T1): 30.00%	ODs: 2625/10000(026%)	Tempo: 8.10241
Progresso (T4): 30.00%	ODs: 2750/10000(028%)	Tempo: 8.20593
Progresso (T6): 30.00%	ODs: 2875/10000(029%)	Tempo: 8.22618
