Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 150
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 109.80283
Progresso (T1): 10.00%	ODs: 250/10000(003%)	Tempo: 128.41268
Progresso (T3): 10.00%	ODs: 375/10000(004%)	Tempo: 128.70158
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 148.41486
Progresso (T5): 10.00%	ODs: 625/10000(006%)	Tempo: 154.46059
Progresso (T2): 10.00%	ODs: 750/10000(008%)	Tempo: 164.63143
Progresso (T8): 10.00%	ODs: 875/10000(009%)	Tempo: 170.28513
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 173.03670
Progresso (T1): 20.00%	ODs: 1125/10000(011%)	Tempo: 247.47560
Progresso (T7): 20.00%	ODs: 1250/10000(013%)	Tempo: 271.17044
Progresso (T2): 20.00%	ODs: 1375/10000(014%)	Tempo: 277.56063
Progresso (T5): 20.00%	ODs: 1500/10000(015%)	Tempo: 277.57617
Progresso (T3): 20.00%	ODs: 1625/10000(016%)	Tempo: 292.76228
Progresso (T8): 20.00%	ODs: 1750/10000(018%)	Tempo: 305.86701
Progresso (T6): 20.00%	ODs: 1875/10000(019%)	Tempo: 308.38074
Progresso (T4): 20.00%	ODs: 2000/10000(020%)	Tempo: 317.15689
Progresso (T1): 30.00%	ODs: 2125/10000(021%)	Tempo: 372.92051
Progresso (T3): 30.00%	ODs: 2250/10000(023%)	Tempo: 416.50945
Progresso (T5): 30.00%	ODs: 2375/10000(024%)	Tempo: 421.20780
Progresso (T2): 30.00%	ODs: 2500/10000(025%)	Tempo: 423.03950
Progresso (T7): 30.00%	ODs: 2625/10000(026%)	Tempo: 424.03454
Progresso (T8): 30.00%	ODs: 2750/10000(028%)	Tempo: 426.18412
Progresso (T4): 30.00%	ODs: 2875/10000(029%)	Tempo: 436.98557
Progresso (T6): 30.00%	ODs: 3000/10000(030%)	Tempo: 463.13168
Progresso (T2): 40.00%	ODs: 3125/10000(031%)	Tempo: 530.34510
