Iniciando BruteForce:{
	Grafo:Fortaleza-network-osm-2019-1_1
	Threads: 8
	Raio: 250
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T7): 10.00%	ODs: 125/10000(001%)	Tempo: 632.77695
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 666.36185
Progresso (T1): 10.00%	ODs: 375/10000(004%)	Tempo: 742.16964
Progresso (T4): 10.00%	ODs: 500/10000(005%)	Tempo: 772.03368
Progresso (T8): 10.00%	ODs: 625/10000(006%)	Tempo: 859.18044
Progresso (T2): 10.00%	ODs: 750/10000(008%)	Tempo: 877.20632
Progresso (T5): 10.00%	ODs: 875/10000(009%)	Tempo: 927.08147
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 961.63223
Progresso (T1): 20.00%	ODs: 1125/10000(011%)	Tempo: 1409.74955
Progresso (T7): 20.00%	ODs: 1250/10000(013%)	Tempo: 1497.25106
Progresso (T4): 20.00%	ODs: 1375/10000(014%)	Tempo: 1567.06876
Progresso (T2): 20.00%	ODs: 1500/10000(015%)	Tempo: 1583.99109
Progresso (T3): 20.00%	ODs: 1625/10000(016%)	Tempo: 1588.40107
Progresso (T5): 20.00%	ODs: 1750/10000(018%)	Tempo: 1639.23101
Progresso (T8): 20.00%	ODs: 1875/10000(019%)	Tempo: 1686.04992
Progresso (T6): 20.00%	ODs: 2000/10000(020%)	Tempo: 1705.28899
Progresso (T1): 30.00%	ODs: 2125/10000(021%)	Tempo: 2107.38298
Progresso (T4): 30.00%	ODs: 2250/10000(023%)	Tempo: 2221.08579
Progresso (T3): 30.00%	ODs: 2375/10000(024%)	Tempo: 2266.31698
Progresso (T7): 30.00%	ODs: 2500/10000(025%)	Tempo: 2292.35188
Progresso (T8): 30.00%	ODs: 2625/10000(026%)	Tempo: 2405.20416
Progresso (T2): 30.00%	ODs: 2750/10000(028%)	Tempo: 2415.80894
Progresso (T5): 30.00%	ODs: 2875/10000(029%)	Tempo: 2510.76290
Progresso (T6): 30.00%	ODs: 3000/10000(030%)	Tempo: 2541.60794
Progresso (T3): 40.00%	ODs: 3125/10000(031%)	Tempo: 2976.69786
Progresso (T7): 40.00%	ODs: 3250/10000(033%)	Tempo: 3030.35275
Progresso (T1): 40.00%	ODs: 3375/10000(034%)	Tempo: 3063.87698
Progresso (T2): 40.00%	ODs: 3500/10000(035%)	Tempo: 3071.47195
Progresso (T4): 40.00%	ODs: 3625/10000(036%)	Tempo: 3217.91674
Progresso (T8): 40.00%	ODs: 3750/10000(038%)	Tempo: 3223.35076
Progresso (T5): 40.00%	ODs: 3875/10000(039%)	Tempo: 3273.78984
Progresso (T6): 40.00%	ODs: 4000/10000(040%)	Tempo: 3319.24900
Progresso (T3): 50.00%	ODs: 4125/10000(041%)	Tempo: 3765.82325
Progresso (T7): 50.00%	ODs: 4250/10000(043%)	Tempo: 3773.04447
Progresso (T2): 50.00%	ODs: 4375/10000(044%)	Tempo: 3808.06135
Progresso (T1): 50.00%	ODs: 4500/10000(045%)	Tempo: 3812.81035
Progresso (T6): 50.00%	ODs: 4625/10000(046%)	Tempo: 3931.45813
Progresso (T8): 50.00%	ODs: 4750/10000(048%)	Tempo: 3941.84924
Progresso (T5): 50.00%	ODs: 4875/10000(049%)	Tempo: 4023.17734
Progresso (T4): 50.00%	ODs: 5000/10000(050%)	Tempo: 4029.09681
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 4419.03314
Progresso (T1): 60.00%	ODs: 5250/10000(053%)	Tempo: 4467.84342
Progresso (T3): 60.00%	ODs: 5375/10000(054%)	Tempo: 4522.90940
Progresso (T7): 60.00%	ODs: 5500/10000(055%)	Tempo: 4603.25689
Progresso (T8): 60.00%	ODs: 5625/10000(056%)	Tempo: 4614.82404
Progresso (T6): 60.00%	ODs: 5750/10000(058%)	Tempo: 4736.13465
Progresso (T4): 60.00%	ODs: 5875/10000(059%)	Tempo: 4766.06555
Progresso (T5): 60.00%	ODs: 6000/10000(060%)	Tempo: 4898.14528
Progresso (T1): 70.00%	ODs: 6125/10000(061%)	Tempo: 5137.85600
Progresso (T2): 70.00%	ODs: 6250/10000(063%)	Tempo: 5150.10514
Progresso (T3): 70.00%	ODs: 6375/10000(064%)	Tempo: 5173.80752
Progresso (T8): 70.00%	ODs: 6500/10000(065%)	Tempo: 5385.41056
Progresso (T7): 70.00%	ODs: 6625/10000(066%)	Tempo: 5429.30098
Progresso (T4): 70.00%	ODs: 6750/10000(068%)	Tempo: 5450.11544
Progresso (T6): 70.00%	ODs: 6875/10000(069%)	Tempo: 5591.03966
Progresso (T5): 70.00%	ODs: 7000/10000(070%)	Tempo: 5693.17594
Progresso (T3): 80.00%	ODs: 7125/10000(071%)	Tempo: 5843.69835
Progresso (T2): 80.00%	ODs: 7250/10000(073%)	Tempo: 6052.69370
Progresso (T1): 80.00%	ODs: 7375/10000(074%)	Tempo: 6055.15488
Progresso (T8): 80.00%	ODs: 7500/10000(075%)	Tempo: 6104.56227
Progresso (T4): 80.00%	ODs: 7625/10000(076%)	Tempo: 6221.49859
Progresso (T6): 80.00%	ODs: 7750/10000(078%)	Tempo: 6285.09224
Progresso (T7): 80.00%	ODs: 7875/10000(079%)	Tempo: 6303.02609
Progresso (T3): 90.00%	ODs: 8000/10000(080%)	Tempo: 6516.47165
Progresso (T5): 80.00%	ODs: 8125/10000(081%)	Tempo: 6628.72118
Progresso (T2): 90.00%	ODs: 8250/10000(083%)	Tempo: 6788.76678
Progresso (T1): 90.00%	ODs: 8375/10000(084%)	Tempo: 6850.10964
Progresso (T6): 90.00%	ODs: 8500/10000(085%)	Tempo: 6852.80985
Progresso (T4): 90.00%	ODs: 8625/10000(086%)	Tempo: 6883.69355
Progresso (T8): 90.00%	ODs: 8750/10000(088%)	Tempo: 7019.44585
Progresso (T7): 90.00%	ODs: 8875/10000(089%)	Tempo: 7166.91818
Progresso (T3): 100.00%	ODs: 9000/10000(090%)	Tempo: 7223.21776
		Fim: T3
Progresso (T5): 90.00%	ODs: 9125/10000(091%)	Tempo: 7351.60998
Progresso (T2): 100.00%	ODs: 9250/10000(093%)	Tempo: 7589.98066
		Fim: T2
Progresso (T4): 100.00%	ODs: 9375/10000(094%)	Tempo: 7641.03205
		Fim: T4
Progresso (T6): 100.00%	ODs: 9500/10000(095%)	Tempo: 7694.21519
		Fim: T6
Progresso (T8): 100.00%	ODs: 9625/10000(096%)	Tempo: 7733.62181
		Fim: T8
Progresso (T1): 100.00%	ODs: 9750/10000(098%)	Tempo: 7752.48855
		Fim: T1
Progresso (T7): 100.00%	ODs: 9875/10000(099%)	Tempo: 7838.17098
		Fim: T7
Progresso (T5): 100.00%	ODs: 10000/10000(100%)	Tempo: 8072.02686
		Fim: T5

Quantidade de rotas: 10000
Status: Found Qtd.: 10000
Tempo decorrido para BruteForce para 250 metros = 61544.7538625767
para o arquivo: Fortaleza-network-osm-2019-1_1

