Iniciando Collapse:{
	Grafo:Mumbai-network-osm-2019-1_2
	Threads: 8
	Raio: 200
	ODs: 10000
}
T1 ODs: 1250
T2 ODs: 1250
T3 ODs: 1250
T4 ODs: 1250
T5 ODs: 1250
T6 ODs: 1250
T7 ODs: 1250
T8 ODs: 1250
Progresso (T8): 10.00%	ODs: 125/10000(001%)	Tempo: 3.40542
Progresso (T3): 10.00%	ODs: 250/10000(003%)	Tempo: 3.70836
Progresso (T2): 10.00%	ODs: 375/10000(004%)	Tempo: 3.77278
Progresso (T1): 10.00%	ODs: 500/10000(005%)	Tempo: 3.82241
Progresso (T4): 10.00%	ODs: 625/10000(006%)	Tempo: 3.81845
Progresso (T5): 10.00%	ODs: 750/10000(008%)	Tempo: 4.04382
Progresso (T7): 10.00%	ODs: 875/10000(009%)	Tempo: 4.05494
Progresso (T6): 10.00%	ODs: 1000/10000(010%)	Tempo: 4.25691
Progresso (T8): 20.00%	ODs: 1125/10000(011%)	Tempo: 7.18012
Progresso (T2): 20.00%	ODs: 1250/10000(013%)	Tempo: 7.32241
Progresso (T3): 20.00%	ODs: 1375/10000(014%)	Tempo: 7.44509
Progresso (T5): 20.00%	ODs: 1500/10000(015%)	Tempo: 7.65939
Progresso (T1): 20.00%	ODs: 1625/10000(016%)	Tempo: 7.72274
Progresso (T4): 20.00%	ODs: 1750/10000(018%)	Tempo: 7.75703
Progresso (T7): 20.00%	ODs: 1875/10000(019%)	Tempo: 8.02297
Progresso (T6): 20.00%	ODs: 2000/10000(020%)	Tempo: 8.11022
Progresso (T2): 30.00%	ODs: 2125/10000(021%)	Tempo: 11.00339
Progresso (T8): 30.00%	ODs: 2250/10000(023%)	Tempo: 11.06928
Progresso (T3): 30.00%	ODs: 2375/10000(024%)	Tempo: 11.29595
Progresso (T5): 30.00%	ODs: 2500/10000(025%)	Tempo: 11.39430
Progresso (T4): 30.00%	ODs: 2625/10000(026%)	Tempo: 11.53947
Progresso (T7): 30.00%	ODs: 2750/10000(028%)	Tempo: 11.58412
Progresso (T1): 30.00%	ODs: 2875/10000(029%)	Tempo: 11.62101
Progresso (T6): 30.00%	ODs: 3000/10000(030%)	Tempo: 11.78802
Progresso (T2): 40.00%	ODs: 3125/10000(031%)	Tempo: 14.73284
Progresso (T8): 40.00%	ODs: 3250/10000(033%)	Tempo: 15.01224
Progresso (T5): 40.00%	ODs: 3375/10000(034%)	Tempo: 15.11202
Progresso (T3): 40.00%	ODs: 3500/10000(035%)	Tempo: 15.23906
Progresso (T1): 40.00%	ODs: 3625/10000(036%)	Tempo: 15.43410
Progresso (T4): 40.00%	ODs: 3750/10000(038%)	Tempo: 15.42906
Progresso (T7): 40.00%	ODs: 3875/10000(039%)	Tempo: 15.72972
Progresso (T6): 40.00%	ODs: 4000/10000(040%)	Tempo: 15.88746
Progresso (T2): 50.00%	ODs: 4125/10000(041%)	Tempo: 18.26087
Progresso (T8): 50.00%	ODs: 4250/10000(043%)	Tempo: 18.79689
Progresso (T5): 50.00%	ODs: 4375/10000(044%)	Tempo: 18.84702
Progresso (T3): 50.00%	ODs: 4500/10000(045%)	Tempo: 18.90436
Progresso (T1): 50.00%	ODs: 4625/10000(046%)	Tempo: 19.11328
Progresso (T4): 50.00%	ODs: 4750/10000(048%)	Tempo: 19.30866
Progresso (T7): 50.00%	ODs: 4875/10000(049%)	Tempo: 19.59502
Progresso (T6): 50.00%	ODs: 5000/10000(050%)	Tempo: 19.92099
Progresso (T2): 60.00%	ODs: 5125/10000(051%)	Tempo: 22.03299
Progresso (T8): 60.00%	ODs: 5250/10000(053%)	Tempo: 22.46680
Progresso (T5): 60.00%	ODs: 5375/10000(054%)	Tempo: 22.56028
Progresso (T3): 60.00%	ODs: 5500/10000(055%)	Tempo: 22.67480
Progresso (T1): 60.00%	ODs: 5625/10000(056%)	Tempo: 22.86748
Progresso (T4): 60.00%	ODs: 5750/10000(058%)	Tempo: 22.95330
Progresso (T7): 60.00%	ODs: 5875/10000(059%)	Tempo: 23.58631
Progresso (T6): 60.00%	ODs: 6000/10000(060%)	Tempo: 23.59667
Progresso (T2): 70.00%	ODs: 6125/10000(061%)	Tempo: 25.83208
Progresso (T8): 70.00%	ODs: 6250/10000(063%)	Tempo: 26.07334
Progresso (T5): 70.00%	ODs: 6375/10000(064%)	Tempo: 26.14135
Progresso (T3): 70.00%	ODs: 6500/10000(065%)	Tempo: 26.39877
Progresso (T4): 70.00%	ODs: 6625/10000(066%)	Tempo: 26.60364
Progresso (T1): 70.00%	ODs: 6750/10000(068%)	Tempo: 26.71282
Progresso (T7): 70.00%	ODs: 6875/10000(069%)	Tempo: 27.44741
Progresso (T6): 70.00%	ODs: 7000/10000(070%)	Tempo: 27.56322
Progresso (T2): 80.00%	ODs: 7125/10000(071%)	Tempo: 29.59784
Progresso (T8): 80.00%	ODs: 7250/10000(073%)	Tempo: 29.71456
Progresso (T5): 80.00%	ODs: 7375/10000(074%)	Tempo: 30.01640
Progresso (T3): 80.00%	ODs: 7500/10000(075%)	Tempo: 30.34178
Progresso (T4): 80.00%	ODs: 7625/10000(076%)	Tempo: 30.37980
Progresso (T1): 80.00%	ODs: 7750/10000(078%)	Tempo: 30.56068
Progresso (T7): 80.00%	ODs: 7875/10000(079%)	Tempo: 31.31557
Progresso (T6): 80.00%	ODs: 8000/10000(080%)	Tempo: 31.51237
Progresso (T2): 90.00%	ODs: 8125/10000(081%)	Tempo: 33.35495
Progresso (T8): 90.00%	ODs: 8250/10000(083%)	Tempo: 33.53424
Progresso (T5): 90.00%	ODs: 8375/10000(084%)	Tempo: 33.71897
Progresso (T3): 90.00%	ODs: 8500/10000(085%)	Tempo: 34.11785
Progresso (T4): 90.00%	ODs: 8625/10000(086%)	Tempo: 34.44327
Progresso (T1): 90.00%	ODs: 8750/10000(088%)	Tempo: 34.55040
Progresso (T7): 90.00%	ODs: 8875/10000(089%)	Tempo: 35.17492
Progresso (T6): 90.00%	ODs: 9000/10000(090%)	Tempo: 35.30957
Progresso (T2): 100.00%	ODs: 9125/10000(091%)	Tempo: 36.74597
		Fim: T2
Progresso (T8): 100.00%	ODs: 9250/10000(093%)	Tempo: 37.20687
		Fim: T8
